NOC,Year,Sport,Bronze,Gold,Silver,Total
ARG,2012,Sailing,2.0,0.0,0.0,2.0
ARG,2012,Taekwondo,0.0,1.0,0.0,1.0
ARG,2012,Tennis,1.0,0.0,0.0,1.0
ARG,2016,Hockey,0.0,18.0,0.0,18.0
ARG,2016,Judo,0.0,1.0,0.0,1.0
ARG,2016,Sailing,0.0,2.0,0.0,2.0
ARG,2016,Tennis,0.0,0.0,1.0,1.0
ARG,2020,Hockey,0.0,0.0,18.0,18.0
ARG,2020,Rugby Sevens,13.0,0.0,0.0,13.0
ARG,2020,Volleyball,12.0,0.0,0.0,12.0
ARG,2024,Cycling BMX Freestyle,0.0,1.0,0.0,1.0
ARG,2024,Hockey,16.0,0.0,0.0,16.0
ARG,2024,Sailing,0.0,0.0,2.0,2.0
ARM,1996,Wrestling,0.0,1.0,1.0,2.0
ARM,2000,Weightlifting,1.0,0.0,0.0,1.0
ARM,2008,Boxing,1.0,0.0,0.0,1.0
ARM,2008,Weightlifting,3.0,0.0,0.0,3.0
ARM,2008,Wrestling,2.0,0.0,0.0,2.0
ARM,2012,Weightlifting,1.0,0.0,0.0,1.0
ARM,2012,Wrestling,1.0,0.0,1.0,2.0
ARM,2016,Weightlifting,0.0,0.0,2.0,2.0
ARM,2016,Wrestling,0.0,1.0,1.0,2.0
ARM,2020,Artistic Gymnastics,1.0,0.0,0.0,1.0
ARM,2020,Boxing,1.0,0.0,0.0,1.0
ARM,2020,Weightlifting,0.0,0.0,1.0,1.0
ARM,2020,Wrestling,0.0,0.0,1.0,1.0
ARM,2024,Artistic Gymnastics,0.0,0.0,1.0,1.0
ARM,2024,Weightlifting,0.0,0.0,1.0,1.0
ARM,2024,Wrestling,1.0,0.0,1.0,2.0
AUS,1992,Athletics,2.0,0.0,0.0,2.0
AUS,1992,Canoeing,4.0,1.0,1.0,6.0
AUS,1992,Cycling,0.0,1.0,7.0,8.0
AUS,1992,Equestrianism,0.0,5.0,0.0,5.0
AUS,1992,Hockey,0.0,0.0,16.0,16.0
AUS,1992,Rowing,0.0,6.0,0.0,6.0
AUS,1992,Sailing,3.0,0.0,0.0,3.0
AUS,1992,Swimming,5.0,1.0,3.0,9.0
AUS,1992,Tennis,2.0,0.0,0.0,2.0
AUS,1996,Athletics,0.0,0.0,2.0,2.0
AUS,1996,Basketball,12.0,0.0,0.0,12.0
AUS,1996,Beach Volleyball,2.0,0.0,0.0,2.0
AUS,1996,Canoeing,5.0,0.0,0.0,5.0
AUS,1996,Cycling,8.0,0.0,1.0,9.0
AUS,1996,Equestrianism,0.0,4.0,0.0,4.0
AUS,1996,Hockey,16.0,16.0,0.0,32.0
AUS,1996,Rowing,8.0,6.0,2.0,16.0
AUS,1996,Sailing,2.0,0.0,2.0,4.0
AUS,1996,Shooting,1.0,2.0,0.0,3.0
AUS,1996,Softball,15.0,0.0,0.0,15.0
AUS,1996,Swimming,14.0,2.0,9.0,25.0
AUS,1996,Tennis,0.0,2.0,0.0,2.0
AUS,1996,Weightlifting,1.0,0.0,0.0,1.0
AUS,2000,Archery,0.0,1.0,0.0,1.0
AUS,2000,Athletics,0.0,1.0,2.0,3.0
AUS,2000,Basketball,0.0,0.0,12.0,12.0
AUS,2000,Beach Volleyball,0.0,2.0,0.0,2.0
AUS,2000,Canoeing,1.0,0.0,2.0,3.0
AUS,2000,Cycling,5.0,2.0,2.0,9.0
AUS,2000,Diving,4.0,0.0,0.0,4.0
AUS,2000,Equestrianism,0.0,4.0,1.0,5.0
AUS,2000,Hockey,16.0,16.0,0.0,32.0
AUS,2000,Judo,1.0,0.0,0.0,1.0
AUS,2000,Rowing,6.0,0.0,15.0,21.0
AUS,2000,Sailing,1.0,4.0,2.0,7.0
AUS,2000,Shooting,1.0,1.0,1.0,3.0
AUS,2000,Softball,15.0,0.0,0.0,15.0
AUS,2000,Swimming,4.0,15.0,27.0,46.0
AUS,2000,Taekwondo,0.0,1.0,1.0,2.0
AUS,2000,Tennis,0.0,0.0,2.0,2.0
AUS,2000,Trampolining,0.0,0.0,1.0,1.0
AUS,2000,Triathlon,0.0,0.0,1.0,1.0
AUS,2000,Water Polo,0.0,13.0,0.0,13.0
AUS,2004,Archery,1.0,0.0,0.0,1.0
AUS,2004,Athletics,2.0,0.0,4.0,6.0
AUS,2004,Baseball,0.0,0.0,24.0,24.0
AUS,2004,Basketball,0.0,0.0,12.0,12.0
AUS,2004,Canoeing,0.0,0.0,3.0,3.0
AUS,2004,Cycling,3.0,12.0,2.0,17.0
AUS,2004,Diving,7.0,1.0,1.0,9.0
AUS,2004,Hockey,0.0,16.0,0.0,16.0
AUS,2004,Rowing,13.0,2.0,4.0,19.0
AUS,2004,Shooting,1.0,1.0,0.0,2.0
AUS,2004,Softball,0.0,0.0,15.0,15.0
AUS,2004,Swimming,3.0,17.0,11.0,31.0
AUS,2004,Tennis,1.0,0.0,0.0,1.0
AUS,2004,Triathlon,0.0,0.0,1.0,1.0
AUS,2008,Athletics,1.0,1.0,2.0,4.0
AUS,2008,Basketball,0.0,0.0,12.0,12.0
AUS,2008,Canoeing,6.0,1.0,1.0,8.0
AUS,2008,Cycling,0.0,0.0,1.0,1.0
AUS,2008,Diving,0.0,1.0,2.0,3.0
AUS,2008,Equestrianism,0.0,0.0,5.0,5.0
AUS,2008,Hockey,17.0,0.0,0.0,17.0
AUS,2008,Rowing,0.0,4.0,4.0,8.0
AUS,2008,Sailing,0.0,4.0,2.0,6.0
AUS,2008,Shooting,1.0,0.0,0.0,1.0
AUS,2008,Softball,15.0,0.0,0.0,15.0
AUS,2008,Swimming,22.0,19.0,13.0,54.0
AUS,2008,Triathlon,1.0,1.0,0.0,2.0
AUS,2008,Water Polo,13.0,0.0,0.0,13.0
AUS,2012,Athletics,0.0,1.0,2.0,3.0
AUS,2012,Basketball,12.0,0.0,0.0,12.0
AUS,2012,Canoeing,0.0,4.0,1.0,5.0
AUS,2012,Cycling,4.0,1.0,5.0,10.0
AUS,2012,Diving,0.0,0.0,1.0,1.0
AUS,2012,Hockey,16.0,0.0,0.0,16.0
AUS,2012,Rowing,5.0,0.0,8.0,13.0
AUS,2012,Sailing,0.0,5.0,3.0,8.0
AUS,2012,Swimming,8.0,7.0,17.0,32.0
AUS,2012,Triathlon,1.0,0.0,0.0,1.0
AUS,2012,Water Polo,13.0,0.0,0.0,13.0
AUS,2016,Archery,3.0,0.0,0.0,3.0
AUS,2016,Athletics,1.0,0.0,1.0,2.0
AUS,2016,Canoeing,3.0,0.0,0.0,3.0
AUS,2016,Cycling,1.0,0.0,5.0,6.0
AUS,2016,Diving,2.0,0.0,0.0,2.0
AUS,2016,Equestrianism,4.0,0.0,0.0,4.0
AUS,2016,Modern Pentathlon,0.0,1.0,0.0,1.0
AUS,2016,Rowing,0.0,1.0,8.0,9.0
AUS,2016,Rugby Sevens,0.0,12.0,0.0,12.0
AUS,2016,Sailing,0.0,1.0,6.0,7.0
AUS,2016,Shooting,0.0,1.0,0.0,1.0
AUS,2016,Swimming,11.0,7.0,14.0,32.0
AUS,2020,Athletics,2.0,0.0,1.0,3.0
AUS,2020,Basketball,12.0,0.0,0.0,12.0
AUS,2020,Beach Volleyball,0.0,0.0,2.0,2.0
AUS,2020,Boxing,1.0,0.0,0.0,1.0
AUS,2020,Canoe Slalom,1.0,1.0,0.0,2.0
AUS,2020,Canoe Sprint,0.0,2.0,0.0,2.0
AUS,2020,Cycling BMX Freestyle,0.0,1.0,0.0,1.0
AUS,2020,Cycling Road,1.0,0.0,0.0,1.0
AUS,2020,Cycling Track,6.0,0.0,0.0,6.0
AUS,2020,Diving,1.0,0.0,0.0,1.0
AUS,2020,Equestrian,1.0,0.0,4.0,5.0
AUS,2020,Hockey,0.0,0.0,18.0,18.0
AUS,2020,Marathon Swimming,1.0,0.0,0.0,1.0
AUS,2020,Rowing,8.0,8.0,0.0,16.0
AUS,2020,Sailing,0.0,3.0,0.0,3.0
AUS,2020,Skateboarding,0.0,1.0,0.0,1.0
AUS,2020,Surfing,1.0,0.0,0.0,1.0
AUS,2020,Swimming,30.0,20.0,3.0,53.0
AUS,2020,Tennis,2.0,0.0,0.0,2.0
AUS,2024,Athletics,5.0,1.0,2.0,8.0
AUS,2024,Basketball,11.0,0.0,0.0,11.0
AUS,2024,Boxing,2.0,0.0,0.0,2.0
AUS,2024,Canoe Slalom,0.0,3.0,0.0,3.0
AUS,2024,Canoe Sprint,2.0,0.0,4.0,6.0
AUS,2024,Cycling BMX Freestyle,1.0,0.0,0.0,1.0
AUS,2024,Cycling BMX Racing,0.0,1.0,0.0,1.0
AUS,2024,Cycling Road,0.0,1.0,0.0,1.0
AUS,2024,Cycling Track,5.0,5.0,2.0,12.0
AUS,2024,Diving,0.0,0.0,1.0,1.0
AUS,2024,Equestrian,0.0,0.0,1.0,1.0
AUS,2024,Rowing,2.0,0.0,0.0,2.0
AUS,2024,Sailing,0.0,1.0,1.0,2.0
AUS,2024,Shooting,1.0,0.0,0.0,1.0
AUS,2024,Skateboarding,0.0,2.0,0.0,2.0
AUS,2024,Surfing,0.0,0.0,1.0,1.0
AUS,2024,Swimming,15.0,17.0,19.0,51.0
AUS,2024,Tennis,0.0,2.0,0.0,2.0
AUS,2024,Water Polo,0.0,0.0,13.0,13.0
AUT,1992,Equestrianism,0.0,0.0,4.0,4.0
AUT,1992,Rowing,0.0,0.0,2.0,2.0
AUT,1996,Athletics,1.0,0.0,0.0,1.0
AUT,1996,Shooting,1.0,0.0,1.0,2.0
AUT,2000,Athletics,0.0,0.0,1.0,1.0
AUT,2000,Sailing,0.0,3.0,0.0,3.0
AUT,2004,Judo,0.0,0.0,1.0,1.0
AUT,2004,Sailing,0.0,2.0,1.0,3.0
AUT,2004,Shooting,1.0,0.0,0.0,1.0
AUT,2004,Swimming,0.0,0.0,2.0,2.0
AUT,2004,Triathlon,0.0,1.0,0.0,1.0
AUT,2008,Canoeing,1.0,0.0,0.0,1.0
AUT,2008,Judo,0.0,0.0,1.0,1.0
AUT,2008,Swimming,1.0,0.0,0.0,1.0
AUT,2016,Sailing,2.0,0.0,0.0,2.0
AUT,2020,Athletics,1.0,0.0,0.0,1.0
AUT,2020,Cycling Road,0.0,1.0,0.0,1.0
AUT,2020,Judo,1.0,0.0,1.0,2.0
AUT,2020,Karate,1.0,0.0,0.0,1.0
AUT,2020,Rowing,1.0,0.0,0.0,1.0
AUT,2020,Sport Climbing,1.0,0.0,0.0,1.0
AUT,2024,Judo,1.0,0.0,0.0,1.0
AUT,2024,Sailing,0.0,3.0,0.0,3.0
AUT,2024,Sport Climbing,2.0,0.0,0.0,2.0
AZE,1996,Wrestling,0.0,0.0,1.0,1.0
AZE,2000,Boxing,1.0,0.0,0.0,1.0
AZE,2000,Shooting,0.0,1.0,0.0,1.0
AZE,2000,Wrestling,0.0,1.0,0.0,1.0
AZE,2004,Boxing,2.0,0.0,0.0,2.0
AZE,2004,Shooting,2.0,0.0,0.0,2.0
AZE,2004,Wrestling,0.0,1.0,0.0,1.0
AZE,2008,Boxing,1.0,0.0,0.0,1.0
AZE,2008,Judo,1.0,1.0,0.0,2.0
AZE,2008,Wrestling,2.0,0.0,2.0,4.0
AZE,2012,Boxing,2.0,0.0,0.0,2.0
AZE,2012,Weightlifting,1.0,0.0,0.0,1.0
AZE,2012,Wrestling,3.0,2.0,2.0,7.0
AZE,2016,Boxing,1.0,0.0,1.0,2.0
AZE,2016,Canoeing,1.0,0.0,1.0,2.0
AZE,2016,Judo,0.0,0.0,2.0,2.0
AZE,2016,Taekwondo,2.0,1.0,0.0,3.0
AZE,2016,Wrestling,6.0,0.0,3.0,9.0
AZE,2020,Boxing,1.0,0.0,0.0,1.0
AZE,2020,Judo,1.0,0.0,0.0,1.0
AZE,2020,Karate,0.0,0.0,2.0,2.0
AZE,2020,Wrestling,2.0,0.0,1.0,3.0
AZE,2024,Boxing,0.0,0.0,1.0,1.0
AZE,2024,Judo,0.0,2.0,0.0,2.0
AZE,2024,Taekwondo,0.0,0.0,1.0,1.0
AZE,2024,Wrestling,3.0,0.0,0.0,3.0
BAH,1992,Athletics,1.0,0.0,0.0,1.0
BAH,1996,Athletics,0.0,0.0,5.0,5.0
BAH,2000,Athletics,5.0,6.0,0.0,11.0
BAH,2004,Athletics,1.0,1.0,0.0,2.0
BAH,2008,Athletics,1.0,0.0,6.0,7.0
BAH,2012,Athletics,0.0,4.0,0.0,4.0
BAH,2016,Athletics,5.0,1.0,0.0,6.0
BAH,2020,Athletics,0.0,2.0,0.0,2.0
BAR,2000,Athletics,1.0,0.0,0.0,1.0
BDI,1996,Athletics,0.0,1.0,0.0,1.0
BDI,2016,Athletics,0.0,0.0,1.0,1.0
BEL,1992,Cycling,1.0,0.0,0.0,1.0
BEL,1992,Judo,1.0,0.0,0.0,1.0
BEL,1992,Rowing,0.0,0.0,1.0,1.0
BEL,1996,Judo,2.0,1.0,1.0,4.0
BEL,1996,Sailing,0.0,0.0,1.0,1.0
BEL,1996,Swimming,0.0,1.0,0.0,1.0
BEL,2000,Cycling,0.0,0.0,3.0,3.0
BEL,2000,Judo,2.0,0.0,0.0,2.0
BEL,2000,Tennis,2.0,0.0,0.0,2.0
BEL,2004,Cycling,1.0,0.0,0.0,1.0
BEL,2004,Judo,1.0,0.0,0.0,1.0
BEL,2004,Tennis,0.0,1.0,0.0,1.0
BEL,2008,Athletics,0.0,1.0,4.0,5.0
BEL,2012,Judo,1.0,0.0,0.0,1.0
BEL,2012,Sailing,1.0,0.0,0.0,1.0
BEL,2012,Shooting,0.0,0.0,1.0,1.0
BEL,2016,Athletics,0.0,1.0,0.0,1.0
BEL,2016,Cycling,1.0,1.0,0.0,2.0
BEL,2016,Hockey,0.0,0.0,16.0,16.0
BEL,2016,Judo,1.0,0.0,0.0,1.0
BEL,2016,Swimming,0.0,0.0,1.0,1.0
BEL,2020,Artistic Gymnastics,0.0,1.0,0.0,1.0
BEL,2020,Athletics,1.0,1.0,0.0,2.0
BEL,2020,Cycling Road,0.0,0.0,1.0,1.0
BEL,2020,Equestrian,4.0,0.0,0.0,4.0
BEL,2020,Hockey,0.0,18.0,0.0,18.0
BEL,2020,Judo,1.0,0.0,0.0,1.0
BEL,2024,Athletics,1.0,1.0,1.0,3.0
BEL,2024,Cycling Road,1.0,2.0,0.0,3.0
BEL,2024,Cycling Track,1.0,0.0,0.0,1.0
BEL,2024,Judo,1.0,0.0,0.0,1.0
BEL,2024,Taekwondo,1.0,0.0,0.0,1.0
BER,2020,Triathlon,0.0,1.0,0.0,1.0
BLR,1996,Athletics,2.0,0.0,2.0,4.0
BLR,1996,Gymnastics,4.0,0.0,0.0,4.0
BLR,1996,Rowing,9.0,1.0,0.0,10.0
BLR,1996,Shooting,0.0,0.0,1.0,1.0
BLR,1996,Wrestling,1.0,0.0,3.0,4.0
BLR,2000,Athletics,3.0,2.0,0.0,5.0
BLR,2000,Judo,1.0,0.0,0.0,1.0
BLR,2000,Modern Pentathlon,1.0,0.0,0.0,1.0
BLR,2000,Rhythmic Gymnastics,0.0,0.0,7.0,7.0
BLR,2000,Rowing,0.0,1.0,0.0,1.0
BLR,2000,Shooting,3.0,0.0,1.0,4.0
BLR,2000,Weightlifting,2.0,0.0,0.0,2.0
BLR,2000,Wrestling,1.0,0.0,0.0,1.0
BLR,2004,Athletics,0.0,1.0,0.0,1.0
BLR,2004,Boxing,0.0,0.0,2.0,2.0
BLR,2004,Canoeing,2.0,0.0,0.0,2.0
BLR,2004,Cycling,1.0,0.0,0.0,1.0
BLR,2004,Judo,0.0,1.0,0.0,1.0
BLR,2004,Rowing,2.0,0.0,1.0,3.0
BLR,2004,Shooting,1.0,0.0,0.0,1.0
BLR,2004,Weightlifting,1.0,0.0,2.0,3.0
BLR,2004,Wrestling,1.0,0.0,0.0,1.0
BLR,2008,Athletics,2.0,1.0,3.0,6.0
BLR,2008,Canoeing,2.0,6.0,0.0,8.0
BLR,2008,Rhythmic Gymnastics,6.0,0.0,1.0,7.0
BLR,2008,Rowing,3.0,0.0,0.0,3.0
BLR,2008,Weightlifting,1.0,1.0,1.0,3.0
BLR,2008,Wrestling,2.0,0.0,0.0,2.0
BLR,2012,Canoeing,4.0,0.0,4.0,8.0
BLR,2012,Rhythmic Gymnastics,1.0,0.0,6.0,7.0
BLR,2012,Shooting,0.0,1.0,0.0,1.0
BLR,2012,Swimming,0.0,0.0,2.0,2.0
BLR,2012,Tennis,1.0,2.0,0.0,3.0
BLR,2012,Weightlifting,2.0,0.0,0.0,2.0
BLR,2016,Athletics,0.0,0.0,1.0,1.0
BLR,2016,Canoeing,4.0,0.0,0.0,4.0
BLR,2016,Swimming,1.0,0.0,0.0,1.0
BLR,2016,Trampolining,0.0,1.0,0.0,1.0
BLR,2016,Weightlifting,0.0,0.0,2.0,2.0
BLR,2016,Wrestling,2.0,0.0,1.0,3.0
BLR,2020,Athletics,1.0,0.0,0.0,1.0
BLR,2020,Canoe Sprint,0.0,0.0,4.0,4.0
BLR,2020,Rhythmic Gymnastics,1.0,0.0,0.0,1.0
BLR,2020,Trampoline Gymnastics,0.0,1.0,0.0,1.0
BLR,2020,Wrestling,1.0,0.0,2.0,3.0
BOT,2012,Athletics,0.0,0.0,1.0,1.0
BOT,2020,Athletics,6.0,0.0,0.0,6.0
BOT,2024,Athletics,0.0,1.0,6.0,7.0
BRA,1992,Judo,0.0,1.0,0.0,1.0
BRA,1992,Swimming,0.0,0.0,1.0,1.0
BRA,1992,Volleyball,0.0,12.0,0.0,12.0
BRA,1996,Athletics,4.0,0.0,0.0,4.0
BRA,1996,Basketball,0.0,0.0,12.0,12.0
BRA,1996,Beach Volleyball,0.0,2.0,2.0,4.0
BRA,1996,Equestrianism,4.0,0.0,0.0,4.0
BRA,1996,Football,17.0,0.0,0.0,17.0
BRA,1996,Judo,2.0,0.0,0.0,2.0
BRA,1996,Sailing,2.0,3.0,0.0,5.0
BRA,1996,Swimming,2.0,0.0,1.0,3.0
BRA,1996,Volleyball,12.0,0.0,0.0,12.0
BRA,2000,Athletics,0.0,0.0,5.0,5.0
BRA,2000,Basketball,12.0,0.0,0.0,12.0
BRA,2000,Beach Volleyball,2.0,0.0,4.0,6.0
BRA,2000,Equestrianism,4.0,0.0,0.0,4.0
BRA,2000,Judo,0.0,0.0,2.0,2.0
BRA,2000,Sailing,2.0,0.0,1.0,3.0
BRA,2000,Swimming,4.0,0.0,0.0,4.0
BRA,2000,Volleyball,12.0,0.0,0.0,12.0
BRA,2004,Athletics,1.0,0.0,0.0,1.0
BRA,2004,Beach Volleyball,0.0,2.0,2.0,4.0
BRA,2004,Equestrianism,0.0,1.0,0.0,1.0
BRA,2004,Football,0.0,0.0,17.0,17.0
BRA,2004,Judo,2.0,0.0,0.0,2.0
BRA,2004,Sailing,0.0,3.0,0.0,3.0
BRA,2004,Volleyball,0.0,12.0,0.0,12.0
BRA,2008,Athletics,4.0,1.0,0.0,5.0
BRA,2008,Beach Volleyball,2.0,0.0,2.0,4.0
BRA,2008,Football,17.0,0.0,18.0,35.0
BRA,2008,Judo,3.0,0.0,0.0,3.0
BRA,2008,Sailing,2.0,0.0,2.0,4.0
BRA,2008,Swimming,1.0,1.0,0.0,2.0
BRA,2008,Taekwondo,1.0,0.0,0.0,1.0
BRA,2008,Volleyball,0.0,12.0,12.0,24.0
BRA,2012,Beach Volleyball,2.0,0.0,2.0,4.0
BRA,2012,Boxing,2.0,0.0,1.0,3.0
BRA,2012,Football,0.0,0.0,18.0,18.0
BRA,2012,Gymnastics,0.0,1.0,0.0,1.0
BRA,2012,Judo,3.0,1.0,0.0,4.0
BRA,2012,Modern Pentathlon,1.0,0.0,0.0,1.0
BRA,2012,Sailing,2.0,0.0,0.0,2.0
BRA,2012,Swimming,1.0,0.0,1.0,2.0
BRA,2012,Volleyball,0.0,12.0,12.0,24.0
BRA,2016,Athletics,0.0,1.0,0.0,1.0
BRA,2016,Beach Volleyball,0.0,2.0,2.0,4.0
BRA,2016,Boxing,0.0,1.0,0.0,1.0
BRA,2016,Canoeing,1.0,0.0,3.0,4.0
BRA,2016,Football,0.0,17.0,0.0,17.0
BRA,2016,Gymnastics,1.0,0.0,2.0,3.0
BRA,2016,Judo,2.0,1.0,0.0,3.0
BRA,2016,Sailing,0.0,2.0,0.0,2.0
BRA,2016,Shooting,0.0,0.0,1.0,1.0
BRA,2016,Swimming,1.0,0.0,0.0,1.0
BRA,2016,Taekwondo,1.0,0.0,0.0,1.0
BRA,2016,Volleyball,0.0,12.0,0.0,12.0
BRA,2020,Artistic Gymnastics,0.0,1.0,1.0,2.0
BRA,2020,Athletics,2.0,0.0,0.0,2.0
BRA,2020,Boxing,1.0,1.0,1.0,3.0
BRA,2020,Canoe Sprint,0.0,1.0,0.0,1.0
BRA,2020,Football,0.0,22.0,0.0,22.0
BRA,2020,Judo,2.0,0.0,0.0,2.0
BRA,2020,Marathon Swimming,0.0,1.0,0.0,1.0
BRA,2020,Sailing,0.0,2.0,0.0,2.0
BRA,2020,Skateboarding,0.0,0.0,3.0,3.0
BRA,2020,Surfing,0.0,1.0,0.0,1.0
BRA,2020,Swimming,2.0,0.0,0.0,2.0
BRA,2020,Tennis,2.0,0.0,0.0,2.0
BRA,2020,Volleyball,0.0,0.0,12.0,12.0
BRA,2024,Artistic Gymnastics,5.0,1.0,2.0,8.0
BRA,2024,Athletics,1.0,0.0,1.0,2.0
BRA,2024,Beach Volleyball,0.0,2.0,0.0,2.0
BRA,2024,Boxing,1.0,0.0,0.0,1.0
BRA,2024,Canoe Sprint,0.0,0.0,1.0,1.0
BRA,2024,Football,0.0,0.0,22.0,22.0
BRA,2024,Judo,11.0,1.0,1.0,13.0
BRA,2024,Skateboarding,2.0,0.0,0.0,2.0
BRA,2024,Surfing,1.0,0.0,1.0,2.0
BRA,2024,Taekwondo,1.0,0.0,0.0,1.0
BRA,2024,Volleyball,13.0,0.0,0.0,13.0
BRN,2012,Athletics,1.0,0.0,0.0,1.0
BRN,2016,Athletics,0.0,1.0,1.0,2.0
BRN,2020,Athletics,0.0,0.0,1.0,1.0
BRN,2024,Athletics,0.0,1.0,1.0,2.0
BRN,2024,Weightlifting,1.0,0.0,0.0,1.0
BRN,2024,Wrestling,0.0,1.0,0.0,1.0
BUL,1992,Athletics,1.0,0.0,1.0,2.0
BUL,1992,Boxing,1.0,0.0,1.0,2.0
BUL,1992,Canoeing,2.0,2.0,0.0,4.0
BUL,1992,Shooting,1.0,0.0,2.0,3.0
BUL,1992,Weightlifting,1.0,1.0,2.0,4.0
BUL,1992,Wrestling,1.0,0.0,1.0,2.0
BUL,1996,Athletics,0.0,1.0,0.0,1.0
BUL,1996,Boxing,0.0,1.0,2.0,3.0
BUL,1996,Canoeing,2.0,0.0,0.0,2.0
BUL,1996,Gymnastics,0.0,0.0,1.0,1.0
BUL,1996,Rhythmic Gymnastics,0.0,0.0,6.0,6.0
BUL,1996,Shooting,2.0,0.0,2.0,4.0
BUL,1996,Weightlifting,2.0,0.0,1.0,3.0
BUL,1996,Wrestling,0.0,1.0,0.0,1.0
BUL,2000,Athletics,0.0,1.0,0.0,1.0
BUL,2000,Canoeing,0.0,0.0,2.0,2.0
BUL,2000,Gymnastics,2.0,0.0,0.0,2.0
BUL,2000,Rowing,0.0,0.0,1.0,1.0
BUL,2000,Shooting,0.0,2.0,0.0,2.0
BUL,2000,Weightlifting,0.0,1.0,2.0,3.0
BUL,2000,Wrestling,0.0,1.0,1.0,2.0
BUL,2004,Boxing,1.0,0.0,0.0,1.0
BUL,2004,Gymnastics,1.0,0.0,1.0,2.0
BUL,2004,Judo,1.0,0.0,0.0,1.0
BUL,2004,Rhythmic Gymnastics,6.0,0.0,0.0,6.0
BUL,2004,Rowing,2.0,0.0,0.0,2.0
BUL,2004,Shooting,1.0,1.0,0.0,2.0
BUL,2004,Weightlifting,1.0,1.0,0.0,2.0
BUL,2004,Wrestling,1.0,0.0,0.0,1.0
BUL,2008,Rowing,0.0,1.0,0.0,1.0
BUL,2008,Wrestling,3.0,0.0,1.0,4.0
BUL,2012,Boxing,1.0,0.0,0.0,1.0
BUL,2012,Wrestling,0.0,0.0,1.0,1.0
BUL,2016,Athletics,0.0,0.0,1.0,1.0
BUL,2016,Rhythmic Gymnastics,5.0,0.0,0.0,5.0
BUL,2016,Wrestling,1.0,0.0,0.0,1.0
BUL,2020,Boxing,0.0,1.0,0.0,1.0
BUL,2020,Karate,0.0,1.0,0.0,1.0
BUL,2020,Rhythmic Gymnastics,0.0,5.0,0.0,5.0
BUL,2020,Shooting,0.0,0.0,1.0,1.0
BUL,2020,Wrestling,2.0,0.0,0.0,2.0
BUL,2024,Boxing,1.0,0.0,0.0,1.0
BUL,2024,Rhythmic Gymnastics,0.0,0.0,1.0,1.0
BUL,2024,Taekwondo,1.0,0.0,0.0,1.0
BUL,2024,Weightlifting,1.0,1.0,0.0,2.0
BUL,2024,Wrestling,0.0,2.0,0.0,2.0
BUR,2020,Athletics,1.0,0.0,0.0,1.0
CAN,1992,Athletics,1.0,1.0,1.0,3.0
CAN,1992,Boxing,1.0,0.0,1.0,2.0
CAN,1992,Cycling,1.0,0.0,0.0,1.0
CAN,1992,Judo,1.0,0.0,0.0,1.0
CAN,1992,Rowing,1.0,24.0,0.0,25.0
CAN,1992,Sailing,2.0,0.0,0.0,2.0
CAN,1992,Swimming,5.0,1.0,0.0,6.0
CAN,1992,Synchronized Swimming,0.0,1.0,2.0,3.0
CAN,1992,Wrestling,0.0,0.0,1.0,1.0
CAN,1996,Athletics,0.0,6.0,0.0,6.0
